,uname,label,catmaid_names,type,side,neurotransmitter,locality,neuropil,source,skid
497,"LHN,MB2ON_14158399",LHN-AF12,AF12: CP23 d 1_left,"LHN,MB2ON",left,unknown,unknown,unknown,Eschbach2020,14158399
498,"MB2ON,FAN,CN_17300165",LHN-AR,AR ; Putative MBE; CP4 1_left,"MB2ON,FAN,CN",left,unknown,unknown,unknown,Eschbach2020,17300165
499,CN_9848760,CN-AR,AR ; Putative MBE; CP4 1_right,"MB2ON,FAN,CN",right,unknown,unknown,unknown,Eschbach2020,9848760
500,MB2ON_3945246,MB2ON-AS,AS ; Left DAL neuron L,MB2ON,left,unknown,unknown,unknown,Eschbach2020,3945246
501,MB2ON_19271710,MB2ON-AS,AS ; Right DAL neuron R,MB2ON,right,unknown,unknown,unknown,Eschbach2020,19271710
502,"LHN,MB2ON,FBN,CN_13743125",LHN-ASB,ASB B1 left,"LHN,MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,13743125
503,CN_17854345,CN-ASB,ASB B1 right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,17854345
504,FFN-2_2667061,FFN-ASB,ASB TODO B1 right 8 Fragment with soma,"MB2ON,FFN",right,unknown,unknown,unknown,Eschbach2020,2667061
505,FFN-34_5679304,FFN-ASB,ASB TODO left from mPN 6,FFN,left,unknown,unknown,unknown,Eschbach2020,5679304
506,CN_16475849,CN-AT,AT ; DPMpm2 1_left,"MB2ON,FAN,CN",left,unknown,unknown,unknown,Eschbach2020,16475849
507,CN_16823703,CN-AT,AT ; DPMpm2 1_right,"MB2ON,FAN,CN",right,unknown,unknown,unknown,Eschbach2020,16823703
508,CN_14540633,CN-B,B ; DALcm12 m ant lat 5_left,"MB2ON,FAN,CN",bilateral,unknown,unknown,unknown,Eschbach2020,14540633
509,CN_4473922,CN-B,B ; DALcm12 m ant lat 5_right,"MB2ON,FAN,CN",bilateral,unknown,unknown,unknown,Eschbach2020,4473922
510,FFN-12_17176866,FFN-BAmas,BAmas lineage Neuron left,FFN,left,unknown,unknown,unknown,Eschbach2020,17176866
511,FFN-12_17176882,FFN-BAmas,BAmas lineage Neuron right,FFN,right,unknown,unknown,unknown,Eschbach2020,17176882
512,FFN-17_5560620,FFN-BAmas12,BAmas12 7 d right,"MB2ON,FFN",right,unknown,unknown,unknown,Eschbach2020,5560620
513,FFN-17_12479019,FFN-BAmas12,BAmas12 7 d the other side left,"MB2ON,FFN",left,unknown,unknown,unknown,Eschbach2020,12479019
514,FFN-37_16316916,FFN-BAmas12,BAmas12 dor 12 d left,FFN,left,unknown,unknown,unknown,Eschbach2020,16316916
515,FFN-37_5592307,FFN-BAmas12,BAmas12 dor 12 d right,FFN,right,unknown,unknown,unknown,Eschbach2020,5592307
516,MB2ON_8540770,MB2ON-BAmd1,BAmd1 v 2 right,MB2ON,right,unknown,unknown,unknown,Eschbach2020,8540770
517,FFN-33_16848497,FFN-Basal-Tel-like,Basal Tel-like 9 left,FFN,left,unknown,unknown,unknown,Eschbach2020,16848497
518,FFN-33_9798791,FFN-Basal-Tel-like,Basal Tel-like 9 right,FFN,right,unknown,unknown,unknown,Eschbach2020,9798791
519,CN_15588620,CN-BF,BF ; F3 pair; CP4 2_left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,15588620
520,"MB2ON,FBN,CN_7594047",MB2ON-BF,BF ; F3 pair; CP4 2_right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,7594047
521,CN_4514494,CN-BG,BG ; Baso-anterior target neuron,"MB2ON,FAN,CN",bilateral,unknown,unknown,unknown,Eschbach2020,4514494
522,CN_8078096,CN-BG,BG ; Baso-anterior target neuron,"MB2ON,FAN,CN",left,unknown,unknown,unknown,Eschbach2020,8078096
523,CN_11003660,CN-BJ,BJ_left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,11003660
524,CN_16594509,CN-BJ,BJ_right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,16594509
525,"MB2ON,FBN,CN_9064208",MB2ON-BL,BL ; CM13 med 4_left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,9064208
526,"MB2ON,FBN,CN_5934511",MB2ON-BL,BL ; CM13 med 4_right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,5934511
527,MB2ON_8019816,MB2ON-BL2,BL 2 ; Right; CM13 med 1,MB2ON,right,unknown,unknown,unknown,Eschbach2020,8019816
528,MB2ON_17177005,MB2ON-BL2,BL 2 : Left,MB2ON,left,unknown,unknown,unknown,Eschbach2020,17177005
529,"MB2ON,FBN,CN_9062992",MB2ON-BL1,BL1 ; CM13 lat 1_left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,9062992
530,"MB2ON,FBN,CN_8792477",MB2ON-BL1,BL1 ; CM13 lat 1_right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,8792477
531,"MB2ON,FBN,CN_10682660",MB2ON-BL4,BL4_left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,10682660
532,"MB2ON,FBN,CN_16856539",MB2ON-BL4,BL4_right; CM13 med 2,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,16856539
533,CN_7026287,CN-BN,BN ; DALcm12 L m ant lat 3_left,"MB2ON,FBN,CN",bilateral,unknown,unknown,unknown,Eschbach2020,7026287
534,CN_7980369,CN-BN,BN ; DALcm12 L m ant lat 3_right,"MB2ON,FBN,CN",bilateral,unknown,unknown,unknown,Eschbach2020,7980369
535,LHON_15766806,LHON-Bridge-l,Bridge I_left,LHON,left,unknown,output,LH,Eschbach2020,15766806
536,LHON_13863331,LHON-Bridge-l,Bridge I_right,LHON,right,unknown,output,LH,Eschbach2020,13863331
537,"MB2ON,FBN_9423829",MB2ON-BY,BY_left,"MB2ON,FBN",left,unknown,unknown,unknown,Eschbach2020,9423829
538,"MB2ON,FBN_9057043",MB2ON-BY,BY_right,"MB2ON,FBN",right,unknown,unknown,unknown,Eschbach2020,9057043
539,CN_15741865,MB2ON-C,C ; DALcl12 L d 2_left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,15741865
540,CN_6290724,MB2ON-C,C ; DALcl12 L d 2_right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,6290724
541,FFN-16_12832017,FFN-CM13,CM13 lat 12 gap,FFN,left,unknown,unknown,unknown,Eschbach2020,12832017
542,MB2ON_15488316,MB2ON-A01-like,contralateral in brain like A01 left,MB2ON,left,unknown,unknown,unknown,Eschbach2020,15488316
543,"LHN,MB2ON_13852833",LHN-CP23,CP23 d 5_left,"LHN,MB2ON",left,unknown,unknown,unknown,Eschbach2020,13852833
544,"LHN,MB2ON_9457719",LHN-CP23,CP23 d 5_right,"LHN,MB2ON",right,unknown,unknown,unknown,Eschbach2020,9457719
545,FFN-34_8689148,FFN-CP23,CP23 v 7,FFN,right,unknown,unknown,unknown,Eschbach2020,8689148
546,"LHN,MB2ON,FBN_10612094",LHN-CZ2,CZ2_left,"LHN,MB2ON,FBN",left,unknown,unknown,unknown,Eschbach2020,10612094
547,"LHN,MB2ON,FBN_12122924",LHN-CZ2,CZ2_right,"LHN,MB2ON,FBN",right,unknown,unknown,unknown,Eschbach2020,12122924
548,CN_8118947,CN-D,D ; Feedback neuron from nociceptive_left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,8118947
549,CN_14077615,CN-D,D ; Feedback neuron from nociceptive_right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,14077615
550,"MB2ON,FAN_9238937",MB2ON-DA,DA_left,"MB2ON,FAN",left,unknown,unknown,unknown,Eschbach2020,9238937
551,"MB2ON,FAN_9103732",MB2ON-DA,DA_right,"MB2ON,FAN",right,unknown,unknown,unknown,Eschbach2020,9103732
552,FFN-7_6300434,FFN-DALcl12,DALcl12 d 3 neuron 6300435 right,"MB2ON,FFN",right,unknown,unknown,unknown,Eschbach2020,6300434
553,FFN-7_15510288,FFN-DALcl12,DALcl12 L d 3 left,"MB2ON,FFN",left,unknown,unknown,unknown,Eschbach2020,15510288
554,FFN-26_7058243,FFN-DALcm12,DALcm12 r 11-21-13 neuron left hemisphere 3; DALcm12 L v ap 5,FFN,left,unknown,unknown,unknown,Eschbach2020,7058243
555,FFN-26_15478720,FFN-DALcm12,DALcm12 v ap 21,FFN,right,unknown,unknown,unknown,Eschbach2020,15478720
556,FFN-13_11051740,FFN-DALl1,DALl1 2 left,"LHN,FFN",left,unknown,unknown,unknown,Eschbach2020,11051740
557,FFN-13_7421507,FFN-DALl1,DALl1 2 right,"LHON,FFN",right,unknown,output,LH,Eschbach2020,7421507
558,FFN-8_9072237,FFN-DALv23,DALv23 L dor pos 1 left,"MB2ON,FFN",left,unknown,unknown,unknown,Eschbach2020,9072237
559,"MB2ON,FBN_5870071",MB2ON-DALv23,DALv23 L LAL,"MB2ON,FBN",left,unknown,unknown,unknown,Eschbach2020,5870071
560,MB2ON_9252296,MB2ON-DALv23,DALv23 L LAL dor pos 3 left,MB2ON,left,unknown,unknown,unknown,Eschbach2020,9252296
561,FFN-8_4201020,FFN-DALv23,DALv23 LAL 11 right,"MB2ON,FFN",right,unknown,unknown,unknown,Eschbach2020,4201020
562,MB2ON_4201555,MB2ON-DALv23,DALv23 LAL 12 right,MB2ON,right,unknown,unknown,unknown,Eschbach2020,4201555
563,"MB2ON,FBN_4144377",MB2ON-DALv23,DALv23 LAL 2 right,"MB2ON,FBN",right,unknown,unknown,unknown,Eschbach2020,4144377
564,"MB2ON,FBN_5681132",MB2ON-DE,DE: CPe 1_left,"MB2ON,FBN",left,unknown,unknown,unknown,Eschbach2020,5681132
565,"MB2ON,FBN_7574701",MB2ON-DE,DE: CPe 1_right,"MB2ON,FBN",right,unknown,unknown,unknown,Eschbach2020,7574701
566,FFN-41_16933362,FFN-DPLal-A,DPLal A_left,"MB2ON,FFN",left,unknown,unknown,unknown,Eschbach2020,16933362
567,FFN-41_4234016,FFN-DPLal-A,DPLal A_right,"MB2ON,FFN",right,unknown,unknown,unknown,Eschbach2020,4234016
568,LHN_5091874,LHN-DPLm1,DPLm1(D CB)3_left,LHN,left,unknown,unknown,unknown,Eschbach2020,5091874
569,LHN_9287906,LHN-DPLm1,DPLm1(D CB)3_right,LHN,right,unknown,local,LH,Eschbach2020,9287906
570,"LHN,MB2ON,FAN,CN_14260575",LHN-DPMpl,DPMpl lat 4 loSMpl_left,"LHN,MB2ON,FAN,CN",left,unknown,unknown,unknown,Eschbach2020,14260575
571,CN_16987409,CN-DPMpl,DPMpl lat 4 loSMpl_right,"MB2ON,FAN,CN",right,unknown,unknown,unknown,Eschbach2020,16987409
572,FFN-27_11361875,FFN-DPMpm,DPMpm a 1 MEF comm,FFN,right,unknown,unknown,unknown,Eschbach2020,11361875
573,CN_11889676,CN-E,E ; BAMD PN_right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,11889676
574,"LHN,MB2ON_17784367",LHN-EX,EX 2 ; Right (?),"LHN,MB2ON",right,unknown,unknown,unknown,Eschbach2020,17784367
575,LHN_16848475,LHN-EX,Exclusive to 24; CP4 5 -left,LHN,left,unknown,local,LH,Eschbach2020,16848475
576,"LHN,MB2ON_17980792",LHN-EX,Exclusive to 24; CP4 5 right,"LHN,MB2ON",right,unknown,unknown,unknown,Eschbach2020,17980792
577,FFN-11_12356747,FFN-11,forking too high?,"LHON,FFN",left,unknown,output,LH,Eschbach2020,12356747
578,CN_11018254,CN-G,G ; 4th order Thermo (Stops Halfway); DALcm12 L m ant lat 10_left,"MB2ON,FBN,CN",bilateral,unknown,unknown,unknown,Eschbach2020,11018254
579,CN_15480928,CN-G,G ; 4th order Thermo (Stops Halfway); DALcm12 L m ant lat 10_right,"MB2ON,FBN,CN",bilateral,unknown,unknown,unknown,Eschbach2020,15480928
580,FFN-30_8349454,FFN-GB,GB: left,FFN,left,unknown,unknown,SEZ,Eschbach2020,8349454
581,FFN-30_1591351,FFN-GB,GB: right,FFN,right,unknown,unknown,unknown,Eschbach2020,1591351
582,FFN-35_17435678,FFN-35,HAS SOMA Neuron 17435679 right NL,FFN,right,unknown,unknown,unknown,Eschbach2020,17435678
583,FFN-20_13199414,FFN-Headphone,Headphone-2_left,FFN,left,unknown,unknown,unknown,Eschbach2020,13199414
584,FFN-20_11234536,FFNHeadphone,Headphone-2_right,FFN,right,unknown,unknown,unknown,Eschbach2020,11234536
585,"MB2ON,FBN_16427492",MB2ON-HL,HL; DALv23 L LAL_left,"MB2ON,FBN",left,unknown,unknown,unknown,Eschbach2020,16427492
586,"MB2ON,FBN_4180774",MB2ON-HL,HL; DALv23 L LAL_right,"MB2ON,FBN",right,unknown,unknown,unknown,Eschbach2020,4180774
587,FFN-24_10351681,FFN-Horns,Horns_right,"MB2ON,FFN",right,unknown,unknown,unknown,Eschbach2020,10351681
588,"MB2ON,FBN,CN_5516552",MB2ON-l,I ; Bala12,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,5516552
589,"MB2ON,FBN,CN_7540581",MB2ON-l,I ; Bala12,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,7540581
590,FFN-11_19857573,FFN-11,Ipsi relay neuron BPL lat R,FFN,right,unknown,unknown,unknown,Eschbach2020,19857573
591,CN_15668309,CN-J,J ; Mid DPMpl lat  (F4 pair)_left,"MB2ON,FAN,CN",bilateral,unknown,unknown,unknown,Eschbach2020,15668309
592,CN_17165711,CN-J,J ; Mid DPMpl lat  (F4 pair)_right,"MB2ON,FAN,CN",right,unknown,unknown,unknown,Eschbach2020,17165711
593,CN_2966602,CN-K,K ; DPLam med _left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,2966602
594,CN_12704069,CN-K,K ; DPLam med _right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,12704069
595,FFN-40_16492104,FFN-h,lowercase-h left,FFN,left,unknown,unknown,unknown,Eschbach2020,16492104
596,FFN-40_10617840,FFN-h,lowercase-h right,FFN,unknown,unknown,unknown,unknown,Eschbach2020,10617840
597,"MB2ON,FBN_10202724",MB2ON-LP,LP: BAmas d 3_left,"MB2ON,FBN",left,unknown,unknown,unknown,Eschbach2020,10202724
598,"MB2ON,FBN_5480553",MB2ON-LP,LP: BAmas d 3_right,"MB2ON,FBN",right,unknown,unknown,unknown,Eschbach2020,5480553
599,CN_13197236,CN-M,M ; F6 pair_left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,13197236
600,CN_8075484,CN-M,M ; F6 pair_right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,8075484
601,MB2ON_4411688,MB2ON-M,M_right,MB2ON,right,unknown,unknown,unknown,Eschbach2020,4411688
602,FFN-15_16978882,FFN-15,Major upstream of 4g_left,"MB2ON,FFN",left,unknown,unknown,unknown,Eschbach2020,16978882
603,FFN-15_14127447,FFN-15,Major upstream of 4g_right,"MB2ON,FFN",right,unknown,unknown,unknown,Eschbach2020,14127447
604,MB2ON_9083312,MB2ON-MBE34-like,MBE34-like_left; Left Handlebar?,MB2ON,left,unknown,unknown,unknown,Eschbach2020,9083312
605,MB2ON_14077179,MB2ON-MBE34-like,MBE34-like_right; Right Handlebar?_TODO,MB2ON,right,unknown,unknown,unknown,Eschbach2020,14077179
606,FFN-1_9048462,FFN-MBE7a-like,MBE7a-like left,"MB2ON,FFN",left,unknown,unknown,unknown,Eschbach2020,9048462
607,"MB2ON,FBN_8864785",MB2ON-N,N_left,"MB2ON,FBN",bilateral,unknown,unknown,unknown,Eschbach2020,8864785
608,"MB2ON,FBN_4617479",MB2ON-N,N_right,"MB2ON,FBN",right,unknown,unknown,unknown,Eschbach2020,4617479
609,FFN-36_16972043,FFN-N1,N1_left,FFN,left,unknown,unknown,unknown,Eschbach2020,16972043
610,FFN-36_4507955,FFN-N1,N1_right,FFN,right,unknown,unknown,unknown,Eschbach2020,4507955
611,FFN-9_4665627,FFN-N2,N2_right,FFN,right,unknown,unknown,unknown,Eschbach2020,4665627
612,FFN-10_15674269,FFN-N4,N4_right,FFN,right,unknown,unknown,unknown,Eschbach2020,15674269
613,FFN-22_17177115,FFN-N5,N5_right,FFN,right,unknown,unknown,unknown,Eschbach2020,17177115
614,FFN-24_10281116,FFN-24,neuron 10281117,"MB2ON,FFN",bilateral,unknown,unknown,unknown,Eschbach2020,10281116
615,FFN-35_12199095,FFN-35,"neuron 12199096 upstr sog, oct left",FFN,left,unknown,unknown,unknown,Eschbach2020,12199095
616,FFN-10_12389097,FFN-10,neuron 12389098,FFN,left,unknown,unknown,unknown,Eschbach2020,12389097
617,FFN-27_14493841,FFN-27,neuron 14493842,FFN,left,unknown,unknown,unknown,Eschbach2020,14493841
618,FFN-32_17107661,FFN-32,Neuron 17107662 (BAla12),FFN,right,unknown,unknown,unknown,Eschbach2020,17107661
619,FFN-22_17177103,FFN-22,neuron 17177104,FFN,left,unknown,unknown,unknown,Eschbach2020,17177103
620,MB2ON_18035864,MB2ON,neuron 18035865 left,MB2ON,left,unknown,unknown,unknown,Eschbach2020,18035864
621,FFN-16_19091931,FFN-16,Neuron 19091932 gap,FFN,right,unknown,unknown,unknown,Eschbach2020,19091931
622,FFN-9_8802069,FFN-9,neuron 8802070 down_oct,FFN,left,unknown,unknown,unknown,Eschbach2020,8802069
623,FFN-32_8838927,FFN-32,neuron 8838928,FFN,left,unknown,unknown,unknown,Eschbach2020,8838927
624,"MB2ON,FAN_4408397",MB2ON-NK,NK_left,"MB2ON,FAN",left,unknown,unknown,unknown,Eschbach2020,4408397
625,"MB2ON,FAN_4199033",MB2ON-NK,NK_right,"MB2ON,FAN",right,unknown,unknown,unknown,Eschbach2020,4199033
626,FFN-2_11011058,FFN-2,Not Finished left,"MB2ON,FFN",left,unknown,unknown,unknown,Eschbach2020,11011058
627,CN_10809383,CN-O,O ; BAmd1 v_left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,10809383
628,CN_5321459,CN-O,O ; BAmd1 v_right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,5321459
629,FFN-25_16340998,FFN-oct1,oct1_left,FFN,left,unknown,unknown,unknown,Eschbach2020,16340998
630,FFN-25_8007556,FFN-oct1,oct1_right,FFN,right,unknown,unknown,unknown,Eschbach2020,8007556
631,FFN-31_12670738,FFN-31,PN to MBE,FFN,left,unknown,unknown,unknown,Eschbach2020,12670738
632,FFN-31_17847543,FFN-R1,R1; Neuron 17847544,FFN,right,unknown,unknown,unknown,Eschbach2020,17847543
633,FFN-6_17176808,FFN-6,Same Line as Looping left,"MB2ON,FFN",left,unknown,unknown,unknown,Eschbach2020,17176808
634,FFN-19_7313896,FFN-SEZ,SEZ FFN left,FFN,left,unknown,unknown,unknown,Eschbach2020,7313896
635,FFN-19_8135412,FFN-SEZ,SEZ FFN right,FFN,right,unknown,unknown,unknown,Eschbach2020,8135412
636,"MB2ON,FBN_9251793",MB2ON-SJ,SJ: DALv23 L LAL dor pos 2_left,"MB2ON,FBN",left,unknown,unknown,unknown,Eschbach2020,9251793
637,"MB2ON,FBN_4190567",MB2ON-SJ,SJ: DALv23 L LAL dor pos 2_right,"MB2ON,FBN",right,unknown,unknown,unknown,Eschbach2020,4190567
638,FFN-4_11637003,FFN-Sleepy,Sleepy Right,"MB2ON,FFN",right,unknown,unknown,unknown,Eschbach2020,11637003
639,FFN-5_9841469,FFN-Sleepy,Sleepy-2 Right,"MB2ON,FFN",right,unknown,unknown,unknown,Eschbach2020,9841469
640,FFN-29_12325227,FFN-Smash,Smash_left,FFN,left,unknown,unknown,unknown,Eschbach2020,12325227
641,FFN-29_9507904,FFN-Smash,Smash_right_sibling,"LHON,FFN",right,unknown,output,LH,Eschbach2020,9507904
642,FFN-3_16442113,FFN-T,T Neuron_sibling left,"LHN,MB2ON,FFN",left,unknown,unknown,unknown,Eschbach2020,16442113
643,FFN-3_3814175,FFN-T,T Neuron_sibling right,"LHON,FFN",right,unknown,output,LH,Eschbach2020,3814175
644,FFN-38_8790590,FFN-T27h,T27h_t2r,FFN,right,unknown,unknown,unknown,Eschbach2020,8790590
645,FFN-38_17015609,FFN-T27h,T27h?_t2l T19f_t2l,FFN,left,unknown,unknown,unknown,Eschbach2020,17015609
646,FFN-23_16385470,FFN-Tel-ipsigoro,Tel-ipsigoro_left,FFN,left,unknown,unknown,unknown,Eschbach2020,16385470
647,FFN-23_18098174,FFN-Tel-ipsigoro,Tel-ipsigoro_right?,FFN,right,unknown,unknown,unknown,Eschbach2020,18098174
648,FFN-6_17176819,FFN-6,To finish with Soma right,"MB2ON,FFN",right,unknown,unknown,unknown,Eschbach2020,17176819
649,FFN-1_10612630,FFN-1,To finish with soma; CP23 v 10 right,"MB2ON,FFN",right,unknown,unknown,unknown,Eschbach2020,10612630
650,CN_14000746,CN-U,U ; Convergence Sibling; DALcm12 m ant lat 12_left,"MB2ON,FAN,CN",bilateral,unknown,unknown,unknown,Eschbach2020,14000746
651,CN_16699958,CN-U,U ; Convergence Sibling; DALcm12 m ant lat 12_right,"MB2ON,FAN,CN",bilateral,unknown,unknown,unknown,Eschbach2020,16699958
652,CN_11013351,CN-U3,U3 ; bilateral-2_left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,11013351
653,CN_11909406,CN-U3,U3 ; bilateral-2_right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,11909406
654,CN_12262910,CN-W,W_left,"MB2ON,FAN,CN",left,unknown,unknown,unknown,Eschbach2020,12262910
655,CN_5738449,CN-W,W_right,"MB2ON,FAN,CN",right,unknown,unknown,unknown,Eschbach2020,5738449
656,CN_9527522,CN-X,X ; F1 pair; DALcm12 L m ant lat 9_left,"MB2ON,FBN,CN",bilateral,unknown,unknown,unknown,Eschbach2020,9527522
657,CN_14083681,CN-X,X ; F1 pair; DALcm12 L m ant lat 9_right,"MB2ON,FBN,CN",bilateral,unknown,unknown,unknown,Eschbach2020,14083681
658,lAL-1_10865025,FFN-IAL-1,lAL-1 (octopaminergic) left,FFN,left,octopamine,input,AL,"Eschbach2020,Berck2016",10865025
659,lAL-1_4116174,FFN-IAL-1,lAL-1 (octopaminergic) right,FFN,right,octopamine,input,AL,"Eschbach2020,Berck2016",4116174
660,mPN-iACT_A3_12225666,mPN-iACT-A3,mPN iACT A3 left,mPN,left,unknown,output,AL,"Eschbach2020,Berck2016",12225666
661,mPN-iACT_A3_4327684,mPN-iACT-A3,mPN iACT A3 right,mPN,right,unknown,output,AL,"Eschbach2020,Berck2016",4327684
662,CN_3157405,CN-AN,AN: DPMlp Lar_left,"MB2ON,FAN,CN",left,unknown,unknown,unknown,"Eschbach2020,Miroschnikow2018",3157405
663,CN_8752697,CN-AN,AN: DPMlp Lar_right,"MB2ON,FAN,CN",right,unknown,unknown,unknown,"Eschbach2020,Miroschnikow2018",8752697
664,FFN-28_17096642,FFN-Dumbo,Dumbo_left,FFN,left,unknown,unknown,VNC,"Eschbach2020,Miroschnikow2018",17096642
665,FFN-28_16751955,FFN-Dumbo,Dumbo_right,FFN,right,unknown,unknown,unknown,"Eschbach2020,Miroschnikow2018",16751955
666,CN_14313750,CN-E,E ; BAMD PN_left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,"Eschbach2020,Miroschnikow2018",14313750
667,FFN-14_9015745,FFN-NI,NI? left_former:Left Mid,"MB2ON,FFN",left,unknown,unknown,unknown,"Eschbach2020,Miroschnikow2018",9015745
668,PMN_20575657,A03g-t3r-(T03g),A03g_t3r (T03g),PMN,unknown,acetylcholine,unknown,unknown,Fushiki2016,20575657
669,Motor_10227539,crescent-a1r,crescent a1r,Motor,unknown,unknown,unknown,unknown,Fushiki2016,10227539
670,PMN_10004243,A27k-a1r,A27k_a1r,PMN,unknown,unknown,unknown,unknown,"Fushiki2016,Carreira-Rosario2018,Burgos2018",10004243
671,PMN_10223572,A27h-a1l,A27h_a1l,PMN,unknown,acetylcholine,unknown,unknown,"Fushiki2016,Carreira-Rosario2018,Zarin2019",10223572
672,PMN_8039617,A08e3-a1r,A08e3_a1r,PMN,unknown,unknown,unknown,unknown,"Fushiki2016,Heckscher2015,Zarin2019",8039617
673,PMN_6811349,A01x3-a1r,A01x3_a1r,PMN,unknown,unknown,unknown,unknown,"Fushiki2016,Zarin2019",6811349
674,PMN_16257962,A03a6-a1r,A03a6_a1r,PMN,unknown,acetylcholine,unknown,unknown,"Fushiki2016,Zarin2019",16257962
675,PMN_5351821,A05a-a1r,A05a_a1r,PMN,unknown,unknown,unknown,unknown,"Fushiki2016,Zarin2019",5351821
676,PMN_12873722,A31d-a1r,A31d_a1r,PMN,unknown,GABA,unknown,unknown,"Fushiki2016,Zarin2019",12873722
677,PMN_4732074,T01d4-t3r,T01d4_t3r,PMN,unknown,unknown,unknown,unknown,"Fushiki2016,Zarin2019",4732074
678,PMN_2583770,A10a-a2l-Chair-1,A10a_a2l Chair-1,PMN,unknown,unknown,unknown,unknown,Gerhard2017,2583770
679,PMN_12767923,A10a-a2r-Chair-1,A10a_a2r Chair-1,PMN,unknown,unknown,unknown,unknown,Gerhard2017,12767923
680,PMN_3546334,A02m-a1r-Pseudolooper-3,A02m_a1r Pseudolooper-3,PMN,unknown,glutamate,unknown,unknown,"Gerhard2017,Ohyama2015,Zarin2019",3546334
681,Motor_14198375,ISN-MN-a1r,ISN MN_a1r,Motor,unknown,unknown,unknown,unknown,Heckscher2015,14198375
682,Motor_14194026,MN-ISN-MN-a1r----R-only,MN ISN MN_a1r    R only,Motor,unknown,unknown,unknown,unknown,Heckscher2015,14194026
683,Motor_11321644,neuron-11321645-frag-run-into-a1-neuron,neuron 11321645 frag run into a1 neuron,Motor,unknown,unknown,unknown,unknown,Heckscher2015,11321644
684,Motor_16042164,SN-motor-neuron-a1r-bilateral,SN motor neuron a1r bilateral,Motor,unknown,unknown,unknown,unknown,Heckscher2015,16042164
685,Motor_16314353,SN-motor-neuron-a1r-posterior-dendrite,SN motor neuron a1r posterior dendrite,Motor,unknown,unknown,unknown,unknown,Heckscher2015,16314353
686,Motor_3641568,SN-motor-neuron-a1r-ventral-dendrite,SN motor neuron a1r ventral dendrite,Motor,unknown,unknown,unknown,unknown,Heckscher2015,3641568
687,PMN_10474936,A06e-a1l-(Saaghi-3),A06e_a1l (Saaghi-3),PMN,unknown,GABA,unknown,unknown,"Heckscher2015,Dombrovski2019,Zarin2019",10474936
688,Motor_16181494,MN19-(ISN-NB3-2)-a1r,MN19 (ISN NB3-2)_a1r,Motor,unknown,unknown,unknown,unknown,"Heckscher2015,Kohsaka2019,Zarin2019",16181494
689,Motor_16713121,MN21/22-(RF:LT1/LT2)-LT2-a1r,MN21/22 (RF:LT1/LT2) LT2_a1r,Motor,unknown,unknown,unknown,unknown,"Heckscher2015,Kohsaka2019,Zwart2016,Zarin2019",16713121
690,PMN_11958584,A06e-a1r-(Saaghi-3),A06e_a1r (Saaghi-3),PMN,unknown,GABA,unknown,unknown,"Heckscher2015,Zarin2019",11958584
691,PMN_8198957,A08e1-a1r,A08e1_a1r,PMN,unknown,unknown,unknown,unknown,"Heckscher2015,Zarin2019",8198957
692,PMN_7876385,A08e1-a1l,A08e1_a1l,PMN,unknown,unknown,unknown,unknown,"Heckscher2015,Zarin2019,Dombrovski2019",7876385
693,PMN_12809923,A08e2-a1l,A08e2_a1l,PMN,unknown,unknown,unknown,unknown,"Heckscher2015,Zarin2019,Dombrovski2019",12809923
